size,puzzle_idx,correct,response_time,tokens
4,0,False,14.005062103271484,1386
4,1,False,6.301248073577881,1166
4,2,False,8.800102949142456,1294
4,3,False,4.219736099243164,1146
4,4,False,9.584918022155762,1240
4,5,False,5.52426290512085,1148
4,6,False,19.037648916244507,1420
4,7,False,3.964252233505249,1125
4,8,False,4.985495090484619,1147
4,9,False,1.7011117935180664,1147
4,10,False,18.64311408996582,1299
4,11,False,5.708971977233887,1167
4,12,False,4.352585792541504,1104
4,13,False,3.8189399242401123,1292
4,14,False,12.48561406135559,1317
4,15,False,3.5670418739318848,1291
4,16,False,10.377355098724365,1340
4,17,False,11.934298276901245,1351
4,18,False,3.1382179260253906,1191
4,19,False,3.9060158729553223,1141
4,20,False,5.240617990493774,1264
4,21,False,4.2608349323272705,1358
4,22,False,4.686946153640747,1321
4,23,False,4.302453994750977,1132
4,24,False,9.953771114349365,1366
4,25,False,8.079926013946533,1235
4,26,False,2.3726489543914795,1078
4,27,False,4.626948118209839,1149
4,28,False,6.5644919872283936,1497
4,29,False,2.3640968799591064,1153
4,30,False,3.232517957687378,1176
4,31,False,4.257705211639404,1146
4,32,False,10.347047090530396,1327
4,33,False,10.661155939102173,1310
4,34,False,4.630548000335693,1166
4,35,False,8.278801202774048,1276
4,36,False,5.113422870635986,1295
4,37,False,7.20267915725708,1348
4,38,False,3.9179348945617676,1151
4,39,False,5.228184700012207,1312
4,40,False,8.65415072441101,1287
4,41,False,5.334390878677368,1335
4,42,False,7.765748977661133,1300
4,43,False,5.4670610427856445,1312
4,44,False,7.863168954849243,1305
4,45,False,7.437522888183594,1270
4,46,False,5.595874071121216,1328
4,47,False,3.2419140338897705,1181
4,48,False,3.0851969718933105,1149
4,49,False,6.032112121582031,1236
4,50,False,10.5540931224823,1364
4,51,False,6.266343832015991,1333
4,52,False,6.597268104553223,1328
4,53,False,2.342751979827881,1120
4,54,False,6.104527950286865,1333
4,55,False,5.829607963562012,1329
4,56,False,2.1476762294769287,1138
4,57,False,2.6351420879364014,1146
4,58,False,8.507879734039307,1287
4,59,False,3.500891923904419,1165
4,60,False,2.4352500438690186,1139
4,61,False,7.9409778118133545,1363
4,62,False,2.280280113220215,1120
4,63,False,11.073909282684326,1385
4,64,False,2.459756851196289,1139
4,65,False,9.734435796737671,1474
4,66,False,2.9358320236206055,1151
4,67,False,7.803947925567627,1218
4,68,False,7.306648015975952,1304
4,69,False,7.8990960121154785,1422
4,70,False,5.846376895904541,1315
4,71,False,7.696655035018921,1347
4,72,False,4.387614011764526,1150
4,73,False,5.5497777462005615,1294
4,74,False,2.9810731410980225,1162
4,75,False,8.110922813415527,1409
4,76,False,13.011636972427368,1396
4,77,False,6.571647882461548,1206
4,78,False,5.24283504486084,1274
4,79,False,3.1602580547332764,1134
4,80,False,4.532270908355713,1170
4,81,False,7.345376014709473,1399
4,82,False,7.225548028945923,1207
4,83,False,4.518354892730713,1156
4,84,False,4.405817031860352,1172
4,85,False,7.385744094848633,1381
4,86,False,2.5791678428649902,1134
4,87,False,3.0753159523010254,1133
4,88,False,7.610933780670166,1283
4,89,False,2.875019073486328,1142
4,90,False,6.310434103012085,1292
4,91,False,7.018631935119629,1345
4,92,False,3.319350004196167,1158
4,93,False,3.1536760330200195,1127
4,94,False,6.774557113647461,1295
4,95,False,10.042355060577393,1320
4,96,False,3.486563205718994,1160
4,97,False,5.275134086608887,1256
4,98,False,3.249878168106079,1155
4,99,False,6.976921081542969,1251
