puzzle_id,size,size_detected,size_correct,num_cages,solved,solve_time_ms,error
3_0,3,3,True,5,False,258,unsolvable
3_1,3,3,True,4,True,188,
3_2,3,3,True,4,False,163,unsolvable
3_3,3,3,True,5,True,153,
3_4,3,3,True,4,True,149,
3_5,3,3,True,5,False,149,unsolvable
3_6,3,3,True,3,True,178,
3_7,3,3,True,3,False,139,unsolvable
3_8,3,3,True,4,True,139,
3_9,3,3,True,5,True,142,
3_10,3,3,True,4,True,136,
3_11,3,3,True,4,True,136,
3_12,3,3,True,3,True,136,
3_13,3,3,True,3,False,134,unsolvable
3_14,3,3,True,4,True,139,
3_15,3,3,True,5,True,140,
3_16,3,3,True,4,True,143,
3_17,3,3,True,4,False,154,unsolvable
3_18,3,3,True,5,False,144,unsolvable
3_19,3,3,True,4,True,138,
3_20,3,3,True,4,True,134,
3_21,3,3,True,4,True,140,
3_22,3,3,True,5,False,143,unsolvable
3_23,3,3,True,3,True,138,
3_24,3,3,True,5,True,141,
3_25,3,3,True,4,True,161,
3_26,3,3,True,5,True,185,
3_27,3,3,True,4,True,150,
3_28,3,3,True,5,True,145,
3_29,3,3,True,5,False,145,unsolvable
3_30,3,3,True,5,False,143,unsolvable
3_31,3,3,True,3,False,137,unsolvable
3_32,3,3,True,4,True,133,
3_33,3,3,True,5,True,143,
3_34,3,3,True,4,False,144,unsolvable
3_35,3,3,True,3,False,140,unsolvable
3_36,3,3,True,4,True,139,
3_37,3,3,True,4,True,140,
3_38,3,3,True,5,False,146,unsolvable
3_39,3,3,True,3,True,148,
3_40,3,3,True,4,True,152,
3_41,3,3,True,5,True,156,
3_42,3,3,True,5,True,152,
3_43,3,3,True,5,False,164,unsolvable
3_44,3,3,True,5,True,190,
3_45,3,3,True,4,True,142,
3_46,3,3,True,5,True,195,
3_47,3,3,True,5,True,152,
3_48,3,3,True,4,False,149,unsolvable
3_49,3,3,True,5,True,160,
3_50,3,3,True,5,True,144,
3_51,3,3,True,4,True,139,
3_52,3,3,True,3,False,136,unsolvable
3_53,3,3,True,5,True,140,
3_54,3,3,True,4,True,142,
3_55,3,3,True,5,True,158,
3_56,3,3,True,5,True,144,
3_57,3,3,True,4,False,146,unsolvable
3_58,3,3,True,4,False,137,unsolvable
3_59,3,3,True,4,True,139,
3_60,3,3,True,4,True,139,
3_61,3,3,True,4,True,134,
3_62,3,3,True,4,False,134,unsolvable
3_63,3,3,True,5,True,138,
3_64,3,3,True,5,False,142,unsolvable
3_65,3,3,True,5,True,142,
3_66,3,3,True,4,False,138,unsolvable
3_67,3,3,True,4,False,134,unsolvable
3_68,3,3,True,4,False,146,unsolvable
3_69,3,3,True,5,True,140,
3_70,3,3,True,4,True,144,
3_71,3,3,True,4,True,143,
3_72,3,3,True,4,True,139,
3_73,3,3,True,5,False,142,unsolvable
3_74,3,3,True,4,True,138,
3_75,3,3,True,5,True,142,
3_76,3,3,True,4,True,139,
3_77,3,3,True,4,True,135,
3_78,3,3,True,4,False,136,unsolvable
3_79,3,3,True,4,True,141,
3_80,3,3,True,4,True,137,
3_81,3,3,True,3,True,133,
3_82,3,3,True,4,True,137,
3_83,3,3,True,4,True,140,
3_84,3,3,True,4,False,137,unsolvable
3_85,3,3,True,4,False,136,unsolvable
3_86,3,3,True,4,False,141,unsolvable
3_87,3,3,True,3,True,137,
3_88,3,3,True,4,True,138,
3_89,3,3,True,5,True,148,
3_90,3,3,True,5,True,137,
3_91,3,3,True,5,False,141,unsolvable
3_92,3,3,True,4,True,137,
3_93,3,3,True,4,True,143,
3_94,3,3,True,4,False,140,unsolvable
3_95,3,3,True,4,False,137,unsolvable
3_96,3,3,True,4,False,139,unsolvable
3_97,3,3,True,3,False,134,unsolvable
3_98,3,3,True,4,True,139,
3_99,3,3,True,5,False,138,unsolvable
4_0,4,4,True,7,False,165,unsolvable
4_1,4,4,True,8,False,169,unsolvable
4_2,4,4,True,7,False,163,unsolvable
4_3,4,4,True,8,False,173,unsolvable
4_4,4,4,True,7,False,167,unsolvable
4_5,4,4,True,7,False,165,unsolvable
4_6,4,4,True,6,True,168,
4_7,4,4,True,7,False,163,unsolvable
4_8,4,4,True,8,False,164,unsolvable
4_9,4,4,True,7,False,168,unsolvable
4_10,4,4,True,7,False,162,unsolvable
4_11,4,4,True,7,False,164,unsolvable
4_12,4,4,True,7,True,166,
4_13,4,4,True,7,False,163,unsolvable
4_14,4,4,True,8,False,162,unsolvable
4_15,4,4,True,6,False,166,unsolvable
4_16,4,4,True,7,False,164,unsolvable
4_17,4,4,True,7,False,163,unsolvable
4_18,4,4,True,7,False,178,unsolvable
4_19,4,4,True,7,False,177,unsolvable
4_20,4,4,True,6,False,161,unsolvable
4_21,4,4,True,7,False,161,unsolvable
4_22,4,4,True,7,False,164,unsolvable
4_23,4,4,True,8,True,165,
4_24,4,4,True,7,False,163,unsolvable
4_25,4,4,True,7,False,182,unsolvable
4_26,4,4,True,8,False,173,unsolvable
4_27,4,4,True,6,False,166,unsolvable
4_28,4,4,True,8,False,166,unsolvable
4_29,4,4,True,8,False,166,unsolvable
4_30,4,4,True,8,True,168,
4_31,4,4,True,8,False,166,unsolvable
4_32,4,4,True,8,True,165,
4_33,4,4,True,8,False,170,unsolvable
4_34,4,4,True,9,False,167,unsolvable
4_35,4,4,True,7,False,164,unsolvable
4_36,4,4,True,7,True,165,
4_37,4,4,True,8,False,165,unsolvable
4_38,4,4,True,8,True,168,
4_39,4,4,True,8,True,168,
4_40,4,4,True,7,False,163,unsolvable
4_41,4,4,True,7,True,166,
4_42,4,4,True,7,True,167,
4_43,4,4,True,7,False,160,unsolvable
4_44,4,4,True,8,False,166,unsolvable
4_45,4,4,True,7,False,165,unsolvable
4_46,4,4,True,8,True,169,
4_47,4,4,True,6,False,160,unsolvable
4_48,4,4,True,7,False,163,unsolvable
4_49,4,4,True,7,False,163,unsolvable
4_50,4,4,True,7,False,163,unsolvable
4_51,4,4,True,8,True,163,
4_52,4,4,True,7,False,166,unsolvable
4_53,4,4,True,8,True,181,
4_54,4,4,True,7,True,182,
4_55,4,4,True,7,False,176,unsolvable
4_56,4,4,True,8,False,173,unsolvable
4_57,4,4,True,7,False,161,unsolvable
4_58,4,4,True,7,False,165,unsolvable
4_59,4,4,True,8,False,181,unsolvable
4_60,4,4,True,7,True,167,
4_61,4,4,True,8,False,168,unsolvable
4_62,4,4,True,7,False,164,unsolvable
4_63,4,4,True,8,False,164,unsolvable
4_64,4,4,True,7,False,164,unsolvable
4_65,4,4,True,7,False,165,unsolvable
4_66,4,4,True,8,False,167,unsolvable
4_67,4,4,True,8,False,164,unsolvable
4_68,4,4,True,8,False,166,unsolvable
4_69,4,4,True,7,False,163,unsolvable
4_70,4,4,True,6,False,163,unsolvable
4_71,4,4,True,8,True,165,
4_72,4,4,True,8,False,166,unsolvable
4_73,4,4,True,7,False,160,unsolvable
4_74,4,4,True,7,False,166,unsolvable
4_75,4,4,True,8,False,164,unsolvable
4_76,4,4,True,7,True,165,
4_77,4,4,True,7,False,166,unsolvable
4_78,4,4,True,9,False,166,unsolvable
4_79,4,4,True,7,False,164,unsolvable
4_80,4,4,True,7,False,162,unsolvable
4_81,4,4,True,8,False,176,unsolvable
4_82,4,4,True,6,False,171,unsolvable
4_83,4,4,True,7,True,164,
4_84,4,4,True,8,False,166,unsolvable
4_85,4,4,True,7,False,166,unsolvable
4_86,4,4,True,7,False,163,unsolvable
4_87,4,4,True,8,False,172,unsolvable
4_88,4,4,True,7,True,170,
4_89,4,4,True,8,False,176,unsolvable
4_90,4,4,True,7,False,175,unsolvable
4_91,4,4,True,7,False,165,unsolvable
4_92,4,4,True,8,True,173,
4_93,4,4,True,6,False,176,unsolvable
4_94,4,4,True,9,True,198,
4_95,4,4,True,8,True,185,
4_96,4,4,True,8,False,178,unsolvable
4_97,4,4,True,7,False,179,unsolvable
4_98,4,4,True,7,False,163,unsolvable
4_99,4,4,True,7,True,165,
5_0,5,5,True,9,False,189,unsolvable
5_1,5,5,True,9,False,185,unsolvable
5_2,5,5,True,10,False,187,unsolvable
5_3,5,5,True,9,False,193,unsolvable
5_4,5,5,True,10,False,196,unsolvable
5_5,5,5,True,10,False,207,unsolvable
5_6,5,5,True,9,True,211,
5_7,5,5,True,9,False,189,unsolvable
5_8,5,5,True,8,False,188,unsolvable
5_9,5,5,True,10,True,198,
5_10,5,5,True,9,False,189,unsolvable
5_11,5,5,True,9,False,196,unsolvable
5_12,5,5,True,10,False,192,unsolvable
5_13,5,5,True,9,False,188,unsolvable
5_14,5,5,True,10,False,197,unsolvable
5_15,5,5,True,9,False,192,unsolvable
5_16,5,5,True,9,False,183,unsolvable
5_17,5,5,True,9,False,192,unsolvable
5_18,5,5,True,8,False,187,unsolvable
5_19,5,5,True,10,True,197,
